Date,Open,High,Low,Close,Volume,Adj Close,Return,Flag,Sentiments
12/14/2016,198.740005,203,196.759995,198.690002,4144600,198.690002,0.00,1,Good
12/13/2016,193.179993,201.279999,193,198.149994,6816100,198.149994,0.03,1,Bad
12/12/2016,192.800003,194.419998,191.179993,192.429993,615800,192.429993,0.00,1,Good
12/9/2016,190.869995,193.839996,190.809998,192.179993,2719600,192.179993,0.00,0,Bad
12/8/2016,192.050003,192.5,189.539993,192.289993,3187300,192.289993,0.00,0,Good
12/7/2016,186.149994,193.399994,185,193.149994,5441400,193.149994,0.04,1,Bad
12/6/2016,185.520004,186.580002,182.679993,185.850006,3372000,185.850006,-0.01,0,Good
12/5/2016,182.509995,188.889999,182.509995,186.800003,4066500,186.800003,0.03,1,Bad
12/2/2016,182.880005,184.880005,180,181.470001,4037200,181.470001,0.00,0,Good
12/1/2016,188.25,188.529999,181,181.880005,5112100,181.880005,-0.04,0,Bad
11/30/2016,191,191.889999,187.5,189.399994,3535000,189.399994,0.00,0,Good
11/29/2016,195.559998,196.729996,189.5,189.570007,4431200,189.570007,-0.03,0,Bad
11/28/2016,195.479996,199.350006,194.550003,196.119995,4487100,196.119995,0.00,0,Good
11/25/2016,193.639999,197.240005,193.639999,196.649994,2363800,196.649994,0.02,1,Bad
11/23/2016,190.610001,195.639999,189,193.139999,4885300,193.139999,0.01,1,Good
11/22/2016,185.839996,191.470001,183.710007,191.169998,5600300,191.169998,0.04,1,Bad
11/21/2016,185.039993,188.889999,184.410004,184.520004,4344600,184.520004,0.00,0,Good
11/18/2016,190.649994,193,185,185.020004,5201100,185.020004,-0.02,0,Bad
11/17/2016,183.490005,189.490005,182.110001,188.660004,4777800,188.660004,0.03,1,Good
11/16/2016,182.649994,184.729996,181.210007,183.929993,3430400,183.929993,0.00,1,Bad
11/15/2016,182.779999,186.429993,182.050003,183.770004,3898900,183.770004,0.01,1,Good
11/14/2016,188,188.25,178.190002,181.449997,6542200,181.449997,-0.04,0,Bad
11/11/2016,184.240005,188.880005,183,188.559998,3984400,188.559998,0.02,1,Good
11/10/2016,191.050003,191.610001,180.419998,185.350006,6748500,185.350006,-0.02,0,Bad
11/9/2016,186.880005,192,183.949997,190.059998,8158800,190.059998,-0.03,0,Good
11/8/2016,193.789993,197.490005,191.259995,194.940002,3251400,194.940002,0.01,1,Bad
11/7/2016,193.589996,194.289993,190.050003,193.210007,3852000,193.210007,0.01,1,Good
11/4/2016,189,193.460007,185.960007,190.559998,5140900,190.559998,0.02,1,Bad
11/3/2016,189,191.470001,187.039993,187.419998,2641400,187.419998,0.00,0,Good
11/2/2016,190.050003,192.699997,187.509995,188.020004,4208700,188.020004,-0.01,0,Bad
11/1/2016,198.039993,198.5,188.110001,190.789993,7014900,190.789993,-0.04,0,Good
10/31/2016,202.490005,202.490005,195.809998,197.729996,4685100,197.729996,-0.01,0,Bad
10/28/2016,204,205.320007,199.830002,199.970001,4255500,199.970001,-0.02,0,Good
10/27/2016,211.339996,213.699997,201.649994,204.009995,13066400,204.009995,0.01,1,Bad
10/26/2016,201,203.190002,200.100006,202.240005,4647800,202.240005,0.00,0,Good
10/25/2016,202.899994,204.690002,201.199997,202.339996,2445000,202.339996,0.00,0,Bad
10/24/2016,201,203.949997,200.25,202.759995,2751600,202.759995,0.01,1,Good
10/21/2016,198.600006,201.570007,197.410004,200.089996,2943400,200.089996,0.00,1,Bad
10/20/2016,202.119995,203,197.050003,199.100006,5072900,199.100006,-0.02,0,Good
10/19/2016,199.740005,206.660004,198.059998,203.559998,6991200,203.559998,0.02,1,Bad
10/18/2016,195.990005,199.470001,193.259995,199.100006,5680500,199.100006,0.03,1,Good
10/17/2016,197.050003,198.389999,192,193.960007,4554100,193.960007,-0.01,0,Bad
10/14/2016,200.660004,201.429993,196.300003,196.509995,4269900,196.509995,-0.02,0,Good
10/13/2016,200.5,200.899994,197.050003,200.240005,2494600,200.240005,-0.01,0,Bad
10/12/2016,200.949997,203.880005,200.419998,201.509995,1970700,201.509995,0.01,1,Good
10/11/2016,201.850006,202.199997,198.309998,200.100006,2328400,200.100006,0.00,0,Bad
10/10/2016,201.350006,204.139999,199.660004,200.949997,3316300,200.949997,0.02,1,Good
10/7/2016,201,201.320007,195.800003,196.610001,3493000,196.610001,-0.02,0,Bad
10/6/2016,202.460007,204.210007,200.210007,201,4703400,201,-0.04,0,Good
10/5/2016,212.240005,213.149994,208.119995,208.460007,1877500,208.460007,0.00,1,Bad
